Analysis,feature,ses,pearson,spearman,within_year_pearson
corr,LST_Night_1km_p10,SDOH_ACS_MEDIAN_HH_INC,-0.2275,-0.3021,-0.2426
corr,LST_Night_1km_p10,SDOH_SAIPE_PCT_POV,0.4014,0.4534,0.4124
corr,LST_Night_1km_p10,SDOH_ACS_PCT_HS_GRADUATE,0.058,0.044,0.0612
corr,LST_Night_1km_p10,SDOH_ACS_PCT_BACHELOR_DGR,-0.2814,-0.3146,-0.2892
corr,LST_Night_1km_p10,SDOH_ACS_PCT_UNINSURED,0.3633,0.4346,0.414
corr,LST_Night_1km_p10,SDOH_ACS_PCT_UNEMPLOY,0.2878,0.3232,0.3191
corr,LST_Night_1km_p25,SDOH_ACS_MEDIAN_HH_INC,-0.2266,-0.3014,-0.2418
corr,LST_Night_1km_p25,SDOH_SAIPE_PCT_POV,0.4069,0.459,0.4182
corr,LST_Night_1km_p25,SDOH_ACS_PCT_HS_GRADUATE,0.0401,0.0314,0.0431
corr,LST_Night_1km_p25,SDOH_ACS_PCT_BACHELOR_DGR,-0.2756,-0.3125,-0.2835
corr,LST_Night_1km_p25,SDOH_ACS_PCT_UNINSURED,0.3749,0.4407,0.4272
corr,LST_Night_1km_p25,SDOH_ACS_PCT_UNEMPLOY,0.2997,0.3351,0.3323
corr,LST_Night_1km_mean,SDOH_ACS_MEDIAN_HH_INC,-0.2225,-0.2979,-0.2376
corr,LST_Night_1km_mean,SDOH_SAIPE_PCT_POV,0.4077,0.4619,0.4192
corr,LST_Night_1km_mean,SDOH_ACS_PCT_HS_GRADUATE,0.0221,0.0178,0.025
corr,LST_Night_1km_mean,SDOH_ACS_PCT_BACHELOR_DGR,-0.2653,-0.3065,-0.2732
corr,LST_Night_1km_mean,SDOH_ACS_PCT_UNINSURED,0.3812,0.4442,0.4343
corr,LST_Night_1km_mean,SDOH_ACS_PCT_UNEMPLOY,0.3112,0.3474,0.3447
varpart,r2_sat,,0.5527,,
varpart,r2_ses,,0.652,,
varpart,r2_both,,0.7568,,
varpart,unique_sat,,0.1048,,
varpart,unique_ses,,0.2041,,
varpart,shared,,0.4479,,
within_quintile,Q1,SDOH_ACS_MEDIAN_HH_INC,0.2795,,
within_quintile,Q2,SDOH_ACS_MEDIAN_HH_INC,0.3803,,
within_quintile,Q3,SDOH_ACS_MEDIAN_HH_INC,0.4899,,
within_quintile,Q4,SDOH_ACS_MEDIAN_HH_INC,0.4134,,
within_quintile,Q5,SDOH_ACS_MEDIAN_HH_INC,0.4526,,
residual_after_ses,satellite,linear_SES,0.4411,,
