system:index,COUNTYFP,FIPS,NAME,STATEFP,mean,p10,p25,p50,p75,p90,sensor,stdDev,year,.geo,fips,NTL_harmonized_mean,NTL_harmonized_stdDev,NTL_harmonized_p10,NTL_harmonized_p25,NTL_harmonized_p50,NTL_harmonized_p75,NTL_harmonized_p90
00000000000000000011,510,29510,St. Louis,29,62.42881540827634,62.0,63.0,63.0,63.0,63.0,DMSP,3.3435570045247296,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",29510,1.0,0.11845979390960977,1.0,1.0,1.0,1.0,1.0
00000000000000000234,510,32510,Carson City,32,17.59443852895405,0.0,2.0,5.5,31.5,59.0,DMSP,21.34550521993148,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",32510,0.3018844976860564,0.9222064205755891,0.0,0.03418803418803419,0.08870967741935484,0.5000000000000001,0.9365079365079365
00000000000000000298,580,51580,Covington,51,42.85277367643957,23.0,28.0,47.0,54.5,57.5,DMSP,14.428449225707643,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",51580,0.7377136877234505,0.6133753787742903,0.46938775510204084,0.47863247863247865,0.7580645161290323,0.8650793650793652,0.9126984126984127
0000000000000000029c,530,51530,Buena Vista,51,30.050469699760555,15.0,21.0,32.0,41.0,44.0,DMSP,11.307880582377326,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",51530,0.5168116472608202,0.474048985300399,0.30612244897959184,0.358974358974359,0.5161290322580645,0.6507936507936508,0.6984126984126984
000000000000000002a2,678,51678,Lexington,51,46.62303664921466,32.5,44.0,46.0,53.0,55.5,DMSP,8.501068526365698,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",51678,0.8027690703548797,0.3487311199943536,0.6632653061224489,0.7521367521367521,0.7419354838709677,0.8412698412698414,0.8809523809523809
000000000000000002a7,640,51640,Galax,51,40.965772500732925,27.0,35.0,43.0,49.0,51.0,DMSP,11.657850167228174,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",51640,0.7051537351689485,0.48967434261693804,0.5510204081632653,0.5982905982905983,0.6935483870967742,0.7777777777777779,0.8095238095238095
000000000000000002a9,720,51720,Norton,51,31.532925454838185,11.5,21.5,34.5,41.0,45.5,DMSP,13.096801854684283,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",51720,0.5423912227644763,0.5539203092694999,0.23469387755102042,0.36752136752136755,0.5564516129032258,0.6507936507936508,0.7222222222222222
000000000000000002ad,750,51750,Radford,51,45.11875753920384,27.5,38.5,47.5,55.0,58.0,DMSP,14.052361300916228,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",51750,0.7768129357847255,0.5965838961378606,0.5612244897959183,0.6581196581196581,0.7661290322580645,0.8730158730158731,0.9206349206349206
000000000000000002b2,590,51590,Danville,51,52.539620134005226,36.0,46.99999999999999,56.5,61.5,62.0,DMSP,12.586533204795224,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",51590,0.9048589259573221,0.53113795809649,0.7346938775510204,0.8034188034188033,0.9112903225806451,0.9761904761904763,0.9841269841269841
000000000000000002b7,690,51690,Martinsville,51,58.3309866901331,52.5,57.5,60.0,61.0,61.5,DMSP,7.338469418770292,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",51690,1.0,0.29682367643805224,1.0,0.9829059829059829,0.967741935483871,0.9682539682539684,0.9761904761904762
000000000000000002b8,775,51775,Salem,51,59.04929229756421,53.5,58.0,61.0,62.0,62.0,DMSP,6.761328280826731,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",51775,1.0,0.2710556186044396,1.0,0.9914529914529915,0.9838709677419355,0.9841269841269842,0.9841269841269841
000000000000000002ba,770,51770,Roanoke,51,60.64063070912621,57.5,61.5,62.00000000000001,62.5,62.5,DMSP,5.708293119926331,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",51770,1.0,0.22403995962092996,1.0,1.0,1.0,0.9920634920634922,0.9920634920634921
00000000000000000632,520,51520,Bristol,51,57.03156565656568,47.0,55.0,60.5,62.0,62.5,DMSP,10.586059053070622,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",51520,0.9823668443279641,0.4418212723721607,0.9591836734693877,0.9401709401709402,0.9758064516129032,0.9841269841269842,0.9920634920634921
00000000000000000200,53,1053,Escambia,1,4.923392275218229,0.0,0.0,0.0,6.5,13.0,DMSP,9.213403101826056,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01053,0.08324729165302938,0.38053526170351637,0.0,0.0,0.0,0.10317460317460318,0.20634920634920634
0000000000000000049b,123,1123,Tallapoosa,1,6.935204103596602,0.0,2.5,4.999999999999999,7.500000000000001,13.5,DMSP,8.62189570892662,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01123,0.11796083530307798,0.3541257827958932,0.0,0.042735042735042736,0.08064516129032256,0.11904761904761907,0.21428571428571427
0000000000000000049c,9,1009,Blount,1,9.204386601500312,5.500000000000001,5.999999999999999,7.5,10.0,15.0,DMSP,5.9153146061720525,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01009,0.1571152753852802,0.23328300483061293,0.11224489795918369,0.10256410256410255,0.12096774193548387,0.15873015873015875,0.23809523809523808
0000000000000000049d,115,1115,St. Clair,1,12.102170395892372,5.000000000000001,6.0,8.0,13.999999999999998,24.0,DMSP,10.107552268588105,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01115,0.20711614664773567,0.42045701727806734,0.10204081632653063,0.10256410256410256,0.12903225806451613,0.2222222222222222,0.38095238095238093
0000000000000000049e,117,1117,Shelby,1,18.007496424889926,5.000000000000001,6.500000000000001,9.0,23.5,49.5,DMSP,17.10637265766918,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01117,0.3090117563582181,0.7329386559904076,0.10204081632653063,0.11111111111111113,0.14516129032258066,0.3730158730158731,0.7857142857142857
0000000000000000049f,73,1073,Jefferson,1,31.28450708797872,7.0,11.000000000000002,24.000000000000004,56.99999999999999,61.49999999999999,DMSP,21.618558353569465,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01073,0.5381047971158107,0.9343976307955074,0.14285714285714285,0.18803418803418806,0.38709677419354843,0.9047619047619048,0.976190476190476
000000000000000004a0,127,1127,Walker,1,10.264400117208451,2.5,5.499999999999999,7.5,11.0,19.5,DMSP,9.840500073012697,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01127,0.17540566662770377,0.4085337354882787,0.05102040816326531,0.094017094017094,0.12096774193548387,0.17460317460317462,0.30952380952380953
000000000000000004a1,7,1007,Bibb,1,4.233567013646529,0.0,0.0,2.5,5.5,9.0,DMSP,6.528961584279588,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01007,0.07134444915519131,0.2606809665798635,0.0,0.0,0.04032258064516129,0.08730158730158731,0.14285714285714285
000000000000000004a2,21,1021,Chilton,1,8.116813770113211,0.0,4.499999999999998,6.000000000000001,9.0,17.0,DMSP,8.58502707463363,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01021,0.13834935184192654,0.3524796809357949,0.0,0.0769230769230769,0.09677419354838711,0.14285714285714288,0.2698412698412698
000000000000000004a3,43,1043,Cullman,1,10.59479604069252,4.499999999999998,5.5,7.000000000000003,9.999999999999998,20.5,DMSP,10.508447787137214,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01043,0.18110660403640125,0.43835610335607245,0.09183673469387751,0.09401709401709402,0.11290322580645165,0.15873015873015872,0.3253968253968254
000000000000000004a4,37,1037,Coosa,1,2.907132003491648,0.0,0.0,2.0,5.0,6.500000000000001,DMSP,3.668749144564603,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01037,0.048456990708802196,0.13297889386744915,0.0,0.0,0.03225806451612903,0.07936507936507937,0.10317460317460318
000000000000000004a5,121,1121,Talladega,1,13.521395793150251,3.5,5.5,8.0,14.999999999999998,34.5,DMSP,13.393040430344785,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01121,0.2316046907958632,0.5671466974929527,0.07142857142857142,0.09401709401709402,0.12903225806451613,0.23809523809523808,0.5476190476190477
000000000000000004e2,71,1071,Jackson,1,5.980748772639275,0.0,2.0,4.500000000000001,6.5,11.0,DMSP,8.087600809682847,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01071,0.10149183640077243,0.33027071345709275,0.0,0.03418803418803419,0.07258064516129034,0.10317460317460318,0.1746031746031746
00000000000000000508,27,1027,Clay,1,3.416119411694826,0.0,0.0,2.5000000000000004,4.500000000000001,5.5,DMSP,4.555076355453251,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01027,0.05723950026697895,0.1725514166494186,0.0,0.0,0.040322580645161296,0.07142857142857145,0.0873015873015873
00000000000000000509,91,1091,Marengo,1,2.42087992900697,0.0,0.0,0.0,2.5,6.5,DMSP,6.708004730195244,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01091,0.040066776288919616,0.2686748416224666,0.0,0.0,0.0,0.03968253968253969,0.10317460317460317
0000000000000000050a,19,1019,Cherokee,1,5.400504140409352,2.0,2.5000000000000004,4.5,5.0,9.0,DMSP,5.839299922067852,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01019,0.09147979298573017,0.22988911961359276,0.04081632653061224,0.04273504273504274,0.07258064516129033,0.07936507936507937,0.14285714285714285
0000000000000000050b,105,1105,Perry,1,1.0710016247310408,0.0,0.0,0.0,0.0,2.5,DMSP,4.3523147692195865,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01105,0.01677480694230984,0.1634985664243926,0.0,0.0,0.0,0.0,0.03968253968253968
0000000000000000050c,63,1063,Greene,1,2.16906584079711,0.0,0.0,0.0,3.5,5.999999999999999,DMSP,4.540584319537708,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01063,0.0357217579231532,0.17190437973756525,0.0,0.0,0.0,0.05555555555555556,0.09523809523809522
0000000000000000050d,13,1013,Butler,1,2.519620821476437,0.0,0.0,0.0,0.0,7.0,DMSP,7.266394890621447,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01013,0.041770537163785565,0.2936057103504375,0.0,0.0,0.0,0.0,0.1111111111111111
0000000000000000050e,57,1057,Fayette,1,4.244435749349702,0.0,0.0,4.0,4.999999999999999,7.5,DMSP,6.489209345442768,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01057,0.07153198773406379,0.2589061182420503,0.0,0.0,0.06451612903225806,0.07936507936507936,0.11904761904761904
0000000000000000050f,131,1131,Wilcox,1,1.4025599622858294,0.0,0.0,0.0,0.0,4.5,DMSP,4.43309539795761,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01131,0.022495801650111624,0.1671052403838575,0.0,0.0,0.0,0.0,0.07142857142857142
00000000000000000510,99,1099,Monroe,1,2.7555522811572475,0.0,0.0,0.0,2.5,8.0,DMSP,7.295655298630958,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01099,0.04584150290149628,0.29491212196495303,0.0,0.0,0.0,0.03968253968253969,0.12698412698412698
00000000000000000511,93,1093,Marion,1,5.459567890338562,0.0,0.0,4.0,5.999999999999999,13.0,DMSP,8.053926561577246,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01093,0.09249893008015506,0.3287672337783085,0.0,0.0,0.06451612903225806,0.09523809523809523,0.20634920634920634
00000000000000000512,119,1119,Sumter,1,2.552238078188194,0.0,0.0,0.0,2.5,6.5,DMSP,6.370960130015245,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01119,0.042333343559809736,0.2536265558931024,0.0,0.0,0.0,0.03968253968253969,0.10317460317460317
00000000000000000513,133,1133,Winston,1,4.983523584102842,0.0,2.0,4.499999999999999,6.0,8.5,DMSP,5.678704209312409,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01133,0.08428484933424804,0.22271888110164462,0.0,0.03418803418803419,0.07258064516129031,0.09523809523809525,0.1349206349206349
00000000000000000514,11,1011,Bullock,1,2.007093054164026,0.0,0.0,0.0,2.5,5.0,DMSP,4.006322628528218,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01011,0.03292693918335102,0.14805079307197128,0.0,0.0,0.0,0.03968253968253969,0.07936507936507936
00000000000000000515,87,1087,Macon,1,5.447382492525418,0.0,0.0,4.5,6.499999999999999,9.5,DMSP,7.059937071879491,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01087,0.09228867267291994,0.2843878316310306,0.0,0.0,0.07258064516129033,0.10317460317460317,0.15079365079365079
00000000000000000516,23,1023,Choctaw,1,1.5199434119062911,0.0,0.0,0.0,0.0,5.0,DMSP,4.521255059916098,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01023,0.02452123735175857,0.17104137163250227,0.0,0.0,0.0,0.0,0.07936507936507936
00000000000000000517,29,1029,Cleburne,1,4.384645621673927,0.0,2.0,4.499999999999999,5.499999999999998,7.499999999999999,DMSP,4.274312219755241,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01029,0.0739512903022458,0.16001592747592266,0.0,0.03418803418803419,0.07258064516129031,0.08730158730158728,0.11904761904761903
00000000000000000518,111,1111,Randolph,1,5.482998761699572,2.0,4.0,4.499999999999998,5.499999999999999,8.5,DMSP,5.473220022569825,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01111,0.0929032266273151,0.21354447286808428,0.04081632653061224,0.06837606837606838,0.0725806451612903,0.0873015873015873,0.1349206349206349
00000000000000000519,39,1039,Covington,1,3.6726140350226286,0.0,0.0,0.0,4.5,9.5,DMSP,7.994541745637412,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01039,0.061665280639325915,0.3261158348899386,0.0,0.0,0.0,0.07142857142857144,0.15079365079365079
0000000000000000051a,25,1025,Clarke,1,2.493147467163127,0.0,0.0,0.0,0.0,7.0,DMSP,7.027699330848376,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01025,0.041313742980773414,0.28294848877241074,0.0,0.0,0.0,0.0,0.1111111111111111
0000000000000000051b,129,1129,Washington,1,2.1347047015294587,0.0,0.0,0.0,2.5,5.999999999999999,DMSP,6.028750476349029,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01129,0.03512886106719104,0.23834766210585354,0.0,0.0,0.0,0.03968253968253969,0.09523809523809522
0000000000000000051c,41,1041,Crenshaw,1,1.9311075247125304,0.0,0.0,0.0,2.5,5.499999999999999,DMSP,4.178036871386261,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01041,0.031615819049659044,0.1557174490247718,0.0,0.0,0.0,0.03968253968253969,0.08730158730158728
0000000000000000051d,75,1075,Lamar,1,3.397325992514024,0.0,0.0,2.0,4.500000000000002,8.0,DMSP,4.761482092239348,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01075,0.056915222336079076,0.18176697002626638,0.0,0.0,0.03225806451612903,0.07142857142857147,0.12698412698412698
0000000000000000051e,59,1059,Franklin,1,5.6995472323372445,0.0,0.0,4.499999999999999,6.000000000000001,10.5,DMSP,8.400034017972128,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01059,0.09663974148511437,0.34422015571834885,0.0,0.0,0.07258064516129031,0.09523809523809526,0.16666666666666666
0000000000000000051f,35,1035,Conecuh,1,1.7115550953188172,0.0,0.0,0.0,0.0,5.499999999999999,DMSP,5.042392653494194,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01035,0.027827471285854433,0.19430899677258254,0.0,0.0,0.0,0.0,0.08730158730158728
00000000000000000520,15,1015,Calhoun,1,17.621794096360105,5.0,6.0,9.5,24.5,46.5,DMSP,16.150296789900377,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01015,0.3023565143378262,0.6902520120582658,0.10204081632653061,0.10256410256410256,0.1532258064516129,0.38888888888888895,0.7380952380952381
00000000000000000521,5,1005,Barbour,1,3.982223034797104,0.0,0.0,2.0,4.500000000000001,9.500000000000002,DMSP,7.678022029677173,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01005,0.06700754246347589,0.3119839392233024,0.0,0.0,0.03225806451612903,0.07142857142857145,0.1507936507936508
00000000000000000522,33,1033,Colbert,1,9.798419165255495,0.0,0.0,5.499999999999998,10.5,23.0,DMSP,14.507378840799593,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01033,0.1673652277121275,0.6168994091245111,0.0,0.0,0.08870967741935482,0.16666666666666669,0.36507936507936506
00000000000000000523,77,1077,Lauderdale,1,10.883770265222935,0.0,4.499999999999997,6.499999999999999,12.0,22.5,DMSP,13.101014427583769,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01077,0.18609281557739873,0.5541083912046899,0.0,0.07692307692307687,0.10483870967741934,0.1904761904761905,0.35714285714285715
00000000000000000524,55,1055,Etowah,1,16.631202260696195,5.5,6.500000000000003,9.5,18.5,45.0,DMSP,15.527357691412506,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01055,0.28526398488669025,0.6624391779673718,0.11224489795918367,0.11111111111111116,0.1532258064516129,0.29365079365079366,0.7142857142857143
00000000000000000525,85,1085,Lowndes,1,2.6196864400205957,0.0,0.0,0.0,5.000000000000001,7.500000000000001,DMSP,4.1992310783204925,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01085,0.04349715600964537,0.15666372284605024,0.0,0.0,0.0,0.07936507936507939,0.11904761904761905
00000000000000000526,1,1001,Autauga,1,7.940570541342254,0.0,2.0,5.0,8.0,17.0,DMSP,11.54142607300712,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01001,0.13530829853432294,0.4844762678378578,0.0,0.03418803418803419,0.08064516129032258,0.126984126984127,0.2698412698412698
00000000000000000527,51,1051,Elmore,1,13.693707698979324,5.0,6.0,8.499999999999998,16.0,32.5,DMSP,12.798137807034603,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",01051,0.2345779096526397,0.5405856291597441,0.10204081632653061,0.10256410256410256,0.13709677419354835,0.253968253968254,0.5158730158730159
