system:index,COUNTYFP,FIPS,NAME,STATEFP,mean,p10,p25,p50,p75,p90,stdDev,year,.geo,fips
00000000000000000011,510,29510,St. Louis,29,1.5308513634246173,1.4818465232849125,1.500577449798584,1.5326677494895338,1.554290567430038,1.5777234690783193,0.0383326054210331,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",29510
00000000000000000234,510,32510,Carson City,32,0.7000599235012759,0.5237908840179444,0.633449665705363,0.7241050243377686,0.7898894190788269,0.8091206414358957,0.1053291493051435,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",32510
00000000000000000298,580,51580,Covington,51,1.3040143075236044,1.2556395530700684,1.2670520782470704,1.3223448753356934,1.3291904449462892,1.3339116096496584,0.0340534200230748,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",51580
0000000000000000029c,530,51530,Buena Vista,51,1.3553608298477522,1.3403179168701174,1.3424938201904295,1.3514048576354982,1.3585675239562989,1.3867065429687502,0.0209887067839214,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",51530
000000000000000002a2,678,51678,Lexington,51,1.375907208247237,1.3592796325683594,1.3717700958251955,1.3755358695983888,1.3787925720214844,1.3946715354919434,0.0132411072712427,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",51678
000000000000000002a7,640,51640,Galax,51,1.330038767736586,1.3004401206970215,1.3121594429016117,1.3268755912780763,1.3529643058776857,1.3565253257751466,0.0199313876439923,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",51640
000000000000000002a9,720,51720,Norton,51,1.2313863156941307,1.1542498588562011,1.2057723999023438,1.226292037963867,1.2918785095214844,1.300240993499756,0.0569234656609038,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",51720
000000000000000002ad,750,51750,Radford,51,1.3708131437331523,1.3514756202697755,1.3597152709960938,1.3717544555664063,1.3790125846862793,1.3878841400146484,0.0147438665272445,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",51750
000000000000000002b2,590,51590,Danville,51,1.5338122180717515,1.4985119819641115,1.5141616513089438,1.5337249279022218,1.5503737224322771,1.5671881675720216,0.0260463988261739,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",51590
000000000000000002b7,690,51690,Martinsville,51,1.498095037057894,1.474596118927002,1.4909216880798342,1.4976890563964844,1.510058116912842,1.5223641395568848,0.0158189986286833,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",51690
000000000000000002b8,775,51775,Salem,51,1.4355472714154855,1.398447895050049,1.4106200218200684,1.4339465141296388,1.4628543853759766,1.4702485084533692,0.0295090195826925,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",51775
000000000000000002ba,770,51770,Roanoke,51,1.452330041759242,1.4305816650390626,1.436111354827881,1.450503328111437,1.4679462909698486,1.4816843986511232,0.020566000281251,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",51770
00000000000000000632,520,51520,Bristol,51,1.5567360216389243,1.5132643699645998,1.5489853858947755,1.557822895050049,1.571707057952881,1.5859131813049316,0.0308798906257843,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",51520
00000000000000000200,53,1053,Escambia,1,1.4289840615560911,1.396972834667641,1.4125804009873872,1.4292420754418311,1.44577079408317,1.4624196970904308,0.0258527551976534,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",01053
0000000000000000049b,123,1123,Tallapoosa,1,1.5280136620952245,1.479472920565993,1.497196084831384,1.5205642238895167,1.5536303744049758,1.588963337520774,0.0448874638334867,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",01123
0000000000000000049c,9,1009,Blount,1,1.607931332716542,1.5700161380498476,1.588369909731928,1.6078665300045785,1.6273590087890626,1.645914239056771,0.0301110920519668,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",01009
0000000000000000049d,115,1115,St. Clair,1,1.6201591791906689,1.5775543844777478,1.600137682755788,1.620651750564575,1.6431092489542791,1.6596578142014735,0.0331373345186057,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",01115
0000000000000000049e,117,1117,Shelby,1,1.6396913849471566,1.5789878559985702,1.6065194029378973,1.6377496364310185,1.6709534136454265,1.7043105157116072,0.0478438114757862,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",01117
0000000000000000049f,73,1073,Jefferson,1,1.689917702070955,1.6181223474128663,1.645467340636505,1.6768301116261053,1.7315223238318571,1.7862023626055037,0.0625918174908935,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",01073
000000000000000004a0,127,1127,Walker,1,1.5800762548314744,1.4950976610183715,1.5323013124011813,1.5868766971175332,1.6298621280805807,1.6552535436239588,0.0604009797300167,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",01127
000000000000000004a1,7,1007,Bibb,1,1.5225273643105803,1.4800876140594483,1.4985039552052817,1.5210436522550734,1.5424521490731158,1.5696541377476283,0.0350100323204527,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",01007
000000000000000004a2,21,1021,Chilton,1,1.5300907809642428,1.4937214378190171,1.5082538150605704,1.5317735410167117,1.5502998035407545,1.5658840329093668,0.0283071180185754,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",01021
000000000000000004a3,43,1043,Cullman,1,1.6187523468208924,1.5639949798583983,1.592308990698855,1.6197560722560145,1.648886299836147,1.6684846083323162,0.039479337752694,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",01043
000000000000000004a4,37,1037,Coosa,1,1.5318496026147068,1.500504124682883,1.513216090202332,1.5307785987854003,1.5483208926587058,1.5648093289528844,0.0258032282062301,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",01037
000000000000000004a5,121,1121,Talladega,1,1.58582487140949,1.5281413582343075,1.557725171767952,1.586946958425094,1.614203816955277,1.637499673032003,0.0436891714473837,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",01121
000000000000000004e2,71,1071,Jackson,1,1.5312148283686138,1.456217498878864,1.491272530540526,1.530373773112931,1.5752773032468903,1.6064396520960909,0.056308843193474,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",01071
00000000000000000508,27,1027,Clay,1,1.4820516195542126,1.4486798356587218,1.4633949960304973,1.4819159630898229,1.499559735488832,1.5170055343377544,0.0269562732530701,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",01027
00000000000000000509,91,1091,Marengo,1,1.5460073642044951,1.5047552393269048,1.522431972888118,1.5439726694113227,1.5653605918727609,1.588939766875267,0.0341377423416795,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",01091
0000000000000000050a,19,1019,Cherokee,1,1.5915375670182823,1.5400794520989527,1.5654866681780135,1.5928341046640138,1.6163309625718447,1.6432170867919922,0.0450551381347023,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",01019
0000000000000000050b,105,1105,Perry,1,1.5170728674783636,1.476098295260985,1.490672382941613,1.509236150979996,1.542563284746829,1.5680810213436036,0.0367549619133453,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",01105
0000000000000000050c,63,1063,Greene,1,1.5350165435886778,1.483366066506865,1.5010699450969698,1.5323541218370311,1.5633721667486176,1.5908361972726703,0.0436862514855099,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",01063
0000000000000000050d,13,1013,Butler,1,1.4560441223264056,1.4293425742874435,1.441012195858594,1.4545961444447522,1.470153983652095,1.483966279626644,0.0224411181292362,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",01013
0000000000000000050e,57,1057,Fayette,1,1.4697765418901168,1.4370470682779948,1.451584307380562,1.4693745585095177,1.4868324685677363,1.503411917447632,0.0262325459418601,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",01057
