County,FIPS,Tested_in_fold,Mean_actual_LE,Mean_predicted_LE,Mean_residual,Mean_abs_error
"Oglala Lakota, SD",46102,[5],65.87,76.86,-10.99,10.99
"Todd, SD",46121,[1],67.93,77.9,-9.97,9.97
"Sioux, ND",38085,[5],68.75,77.11,-8.36,8.36
"Buffalo, SD",46017,[2],69.86,77.58,-7.73,7.73
"Roosevelt, MT",30085,[4],70.29,77.73,-7.44,7.44
"Dewey, SD",46041,[1],70.09,76.46,-6.37,6.37
"Ziebach, SD",46137,[1],76.23,77.05,-0.82,0.84
"Corson, SD",46031,[1],70.64,77.42,-6.78,6.78
"Apache, AZ",04001,[3],73.16,77.2,-4.04,4.04
"Big Horn, MT",30003,[1],72.27,78.36,-6.09,6.09
